dateCBASS,CBASSrun,uniquePosition,site,fieldTag,Temp,rack.col,rack.position,F,Fm,Y
2023-06-21T00:00:00Z,2,Run2.F6,V1523,B75,32,Florida,6,0.1466,0.2727,0.462
2023-06-21T00:00:00Z,2,Run2.F7,V1523,B73,32,Florida,7,0.1417,0.2766,0.488
2023-06-21T00:00:00Z,2,Run2.O1,K1033,B16,38,Orange,1,0.0591,0.0591,0
2023-06-21T00:00:00Z,2,Run2.O2,U3026-2,B39,38,Orange,2,0.0606,0.0601,0
2023-06-21T00:00:00Z,2,Run2.O3,O2263,B46,38,Orange,3,0.0679,0.0679,0
2023-06-21T00:00:00Z,2,Run2.O4,K1033,B13,38,Orange,4,0.1369,0.1334,0
2023-06-21T00:00:00Z,2,Run2.O5,O2263,B48,38,Orange,5,0.0865,0.0885,0
2023-06-21T00:00:00Z,2,Run2.O6,K1033,B14,38,Orange,6,0.1217,0.1178,0
2023-06-21T00:00:00Z,2,Run2.O7,O2263,B45,38,Orange,7,0.0787,0.0787,0
2023-06-21T00:00:00Z,2,Run2.O8,O2263,B49,38,Orange,8,0.0572,0.0591,0
2023-06-21T00:00:00Z,2,Run2.Y1,U3026-2,B33,38,Yellow,1,0.0337,0.0327,0
2023-06-21T00:00:00Z,2,Run2.Y2,U3026-2,B40,38,Yellow,2,0.0582,0.0577,0
2023-06-21T00:00:00Z,2,Run2.Y3,U1029-2,B34,38,Yellow,3,0.0899,0.0894,0
2023-06-21T00:00:00Z,2,Run2.Y4,U1029-2,B37,38,Yellow,4,0.0924,0.0943,0
2023-06-21T00:00:00Z,2,Run2.Y5,S1208,B35,38,Yellow,5,0.0479,0.0503,0
2023-06-21T00:00:00Z,2,Run2.Y6,S1208,B32,38,Yellow,6,0.0723,0.0738,0
2023-06-21T00:00:00Z,2,Run2.Y7,M1218,B69,38,Yellow,7,0.1183,0.1163,0
2023-06-21T00:00:00Z,2,Run2.Y8,U1029-2,B79,38,Yellow,8,0.0758,0.0762,0
2023-06-21T00:00:00Z,2,Run2.B1,K1033,B15,38,Blue,1,0.0332,0.0332,0
2023-06-21T00:00:00Z,2,Run2.B2,O2263,B44,38,Blue,2,0.042,0.0425,0
2023-06-21T00:00:00Z,2,Run2.B3,U3026-2,B36,38,Blue,3,0.0601,0.0601,0
2023-06-21T00:00:00Z,2,Run2.B4,O2263,B47,38,Blue,4,0.0836,0.0831,0
2023-06-21T00:00:00Z,2,Run2.B5,U3026-2,B31,38,Blue,5,0.0494,0.0489,0
2023-06-21T00:00:00Z,2,Run2.B6,V1523,B74,38,Blue,6,0.0767,0.0758,0
2023-06-21T00:00:00Z,2,Run2.B7,V1523,B72,38,Blue,7,0.1266,0.1227,0
2023-06-21T00:00:00Z,2,Run2.F1,M1218,B66,38,Florida,1,0.0635,0.0626,0
2023-06-21T00:00:00Z,2,Run2.F2,M1218,B64,38,Florida,2,0.0611,0.0606,0
2023-06-21T00:00:00Z,2,Run2.F3,M1218,B62,38,Florida,3,0.0655,0.0645,0
2023-06-21T00:00:00Z,2,Run2.F4,S1208,B76,38,Florida,4,0.1153,0.1158,0
2023-06-21T00:00:00Z,2,Run2.F5,S1208,B80,38,Florida,5,0.0772,0.0753,0
2023-06-21T00:00:00Z,2,Run2.F6,V1523,B75,38,Florida,6,0.0567,0.0557,0
2023-06-21T00:00:00Z,2,Run2.F7,V1523,B73,38,Florida,7,0.1207,0.1163,0
2023-06-21T00:00:00Z,2,Run2.O1,K1033,B16,37,Orange,1,0.1217,0.1315,0.074
2023-06-21T00:00:00Z,2,Run2.O2,U3026-2,B39,37,Orange,2,0.1046,0.107,0
2023-06-21T00:00:00Z,2,Run2.O3,O2263,B46,37,Orange,3,0.1388,0.1408,0
2023-06-21T00:00:00Z,2,Run2.O4,K1033,B13,37,Orange,4,0.1398,0.1403,0
2023-06-21T00:00:00Z,2,Run2.O5,O2263,B48,37,Orange,5,0.175,0.1745,0
2023-06-21T00:00:00Z,2,Run2.O6,K1033,B14,37,Orange,6,0.1261,0.1281,0
2023-06-21T00:00:00Z,2,Run2.O7,O2263,B45,37,Orange,7,0.1559,0.1588,0
2023-06-21T00:00:00Z,2,Run2.O8,O2263,B49,37,Orange,8,0.1281,0.1305,0
2023-06-21T00:00:00Z,2,Run2.Y1,U3026-2,B33,37,Yellow,1,0.0645,0.0665,0
2023-06-21T00:00:00Z,2,Run2.Y2,U3026-2,B40,37,Yellow,2,0.1041,0.1085,0.041
2023-06-21T00:00:00Z,2,Run2.Y3,U1029-2,B34,37,Yellow,3,0.1774,0.1804,0
2023-06-21T00:00:00Z,2,Run2.Y4,U1029-2,B37,37,Yellow,4,0.1808,0.1877,0.036
2023-06-21T00:00:00Z,2,Run2.Y5,S1208,B35,37,Yellow,5,0.1779,0.1799,0
2023-06-21T00:00:00Z,2,Run2.Y6,S1208,B32,37,Yellow,6,0.1036,0.1085,0.045
2023-06-21T00:00:00Z,2,Run2.Y7,M1218,B69,37,Yellow,7,0.1711,0.172,0
2023-06-21T00:00:00Z,2,Run2.Y8,U1029-2,B79,37,Yellow,8,0.1505,0.1525,0
2023-06-21T00:00:00Z,2,Run2.B1,K1033,B15,37,Blue,1,0.1197,0.1266,0.054
2023-06-21T00:00:00Z,2,Run2.B2,O2263,B44,37,Blue,2,0.1339,0.1349,0
2023-06-21T00:00:00Z,2,Run2.B3,U3026-2,B36,37,Blue,3,0.1178,0.1227,0.04
2023-06-21T00:00:00Z,2,Run2.B4,O2263,B47,37,Blue,4,0.1745,0.175,0
2023-06-21T00:00:00Z,2,Run2.B5,U3026-2,B31,37,Blue,5,0.109,0.109,0
2023-06-21T00:00:00Z,2,Run2.B6,V1523,B74,37,Blue,6,0.1095,0.1212,0.097
2023-06-21T00:00:00Z,2,Run2.B7,V1523,B72,37,Blue,7,0.1158,0.1222,0.052
2023-06-21T00:00:00Z,2,Run2.F1,M1218,B66,35,Florida,1,0.1632,0.2048,0.203
